Date,Open,High,Low,Close,Volume
2018-04-25,2932.8,3033.6,2922,2941.6,22605
2018-04-26,2872,2905.6,2768.8,2797.6,11884.95
2018-04-27,2760,2847.2,2730.4,2743.2,17473.75
2018-04-30,2713.6,2760.8,2664.8,2746.4,15708.85
2018-05-01,2770.4,2804,2698.4,2706.4,15061.85
2018-05-02,2694.4,2700.8,2609.6,2688.8,12132.6
2018-05-03,2744,2905.6,2715.2,2741.6,20630.75
2018-05-04,2777.6,2803.2,2642.4,2656,11422.85
2018-05-07,2641.6,2668,2611.2,2639.2,8466.7
2018-05-08,2661.6,2684.8,2623.2,2631.2,10811.85
2018-05-09,2608.8,2619.2,2521.6,2521.6,13415.2
2018-05-10,2506.4,2506.4,2389.6,2408.8,10999.55
2018-05-11,2409.6,2433.6,2367.2,2369.6,12736.45
2018-05-14,2341.6,2347.2,2281.6,2291.2,15158.2
2018-05-15,2384,2488.8,2376,2453.6,24637.55
2018-05-16,2416,2418.4,2351.2,2365.6,13947.4
2018-05-17,2356.8,2386.4,2297.6,2304.8,13717
2018-05-18,2332,2374.4,2313.6,2335.2,12416.05
2018-05-21,2248.8,2286.4,2212,2261.6,14608.85
2018-05-22,2240.8,2292.8,2233.6,2288.8,11107.9
2018-05-23,2356,2388,2236,2247.2,13077.8
2018-05-24,2256,2355.2,2224,2234.4,21386.2
2018-05-25,2268.8,2284,2220,2263.2,12724.15
2018-05-29,2368,2612.8,2318.4,2536.8,38122.4
2018-05-30,2468,2476,2384,2412.8,15907.35
2018-05-31,2431.2,2507.2,2405.6,2444.8,23743.05
2018-06-01,2344,2351.2,2303.2,2342.4,18027.15
2018-06-04,2289.6,2297.6,2239.2,2244,10287.55
2018-06-05,2243.2,2268,2212,2219.2,10321
2018-06-06,2200,2208,2131.2,2134.4,12661.45
2018-06-07,2123.2,2240,2120,2165.6,19573.2
2018-06-08,2208.8,2216,2140.8,2151.2,15026.55
2018-06-11,2156.8,2164,2108,2121.6,14403.95
2018-06-12,2104,2140.8,2092,2112,8523
2018-06-13,2085.6,2142.4,2077.6,2140,11741.25
2018-06-14,2079.2,2101.6,2043.2,2072,18535.6
2018-06-15,2110.4,2147.8,2081.6,2089.6,16438.35
2018-06-18,2150.4,2180.8,2059.2,2063.2,15349.85
2018-06-19,2201.6,2239.2,2142.2,2163.2,25503.65
2018-06-20,2120,2125.6,2090.4,2115.2,13970.35
2018-06-21,2128,2299.2,2126.4,2254.4,26552.6
2018-06-22,2180,2215.4,2160,2193.6,13141.7
2018-06-25,2258.4,2623,2258.4,2513.6,46609.5
2018-06-26,2411.2,2499.2,2359.2,2410.4,22744.7
2018-06-27,2386.4,2602.4,2324.8,2548,31697.5
2018-06-28,2565.6,2673.6,2473.6,2509.6,30420.65
2018-06-29,2422.4,2445.6,2360.8,2441.6,23199.45
2018-07-02,2560,2588.8,2444,2453.6,18601.7
2018-07-03,2394.4,2492.8,2375.2,2472.8,12715.5
2018-07-05,2406.4,2471.2,2379.2,2381.6,21400
2018-07-06,2383.2,2387.2,2252.8,2262.4,23216.6
2018-07-09,2200.8,2202.4,2127.2,2140.8,26785.05
2018-07-10,2122.4,2163.2,2095.2,2100.8,30955.1
2018-07-11,2203.2,2209.6,2140,2171.2,24839.5
2018-07-12,2126.4,2155.2,2092.4,2095.2,21006.4
2018-07-13,2117.6,2134.4,2068.4,2073.6,19752.1
2018-07-16,2064,2096.8,2045.6,2060,18085.35
2018-07-17,2092,2098.4,2012,2036,18392.7
2018-07-18,2013.6,2065.6,1996.6,2018.4,17466.65
2018-07-19,2056.8,2082.4,2026.4,2057.6,15178.25
2018-07-20,2088.8,2092,2040.8,2064.8,18863.4
2018-07-23,2067.2,2098.4,2039.2,2056.8,9957
2018-07-24,1999.2,2095.6,1992,2016,24006.8
2018-07-25,2041.6,2050.4,1990.4,2009.6,18064.15
2018-07-26,2012.8,2041.6,1992.8,2015.2,12625.3
2018-07-27,1998.4,2132,1996.8,2071.2,26822.95
2018-07-30,2057.6,2156,2052,2129.6,24458.75
2018-07-31,2080,2100,2057.6,2070.4,14756.2
2018-08-01,2044.8,2082.4,2016.8,2052,19589.9
2018-08-02,2124.8,2142.6,2018.4,2030.4,22633.8
2018-08-03,2017.6,2030.4,1977.6,1999.2,19793.9
2018-08-06,1984,1992,1919.2,1920.8,17637.1
2018-08-07,1897.6,1906.4,1876,1884,15484.45
2018-08-08,1882.4,1893.28,1841.6,1856,14825.1
2018-08-09,1852.8,1883.2,1834.4,1881.6,13578.85
2018-08-10,1965.6,2016.8,1936.8,1973.6,37458.15
2018-08-13,1996,2095.2,1930.4,2092.8,38131.45
2018-08-14,2047.2,2082.4,1983.2,1984.8,24887.1
2018-08-15,2088,2246.4,2080.8,2109.6,61436.35
2018-08-16,2032.8,2034.4,1965.6,1996,25173.8
2018-08-17,2016.8,2039.2,1936,1944,28450.4
2018-08-20,1903.2,1922.4,1891.2,1906.4,26580.15
2018-08-21,1894.4,1947.2,1881.6,1946.8,22640.35
2018-08-22,1944.8,1947.2,1904,1923.2,19826.85
2018-08-23,1904.8,1942.4,1881.6,1908.8,27313.5
2018-08-24,1884.8,1905.6,1870.4,1899.2,19497.1
2018-08-27,1872.8,1906.4,1868,1905.6,15763.9
2018-08-28,1888.8,1924.54,1882.4,1903.2,17102.55
2018-08-29,1902.4,1921.6,1881.6,1903.2,14028.8
2018-08-30,1906.4,1974.4,1888,1942.4,23247.45
2018-08-31,1963.2,1970.4,1902.4,1915.2,22377.2
2018-09-04,1927.2,1982.4,1920.8,1924,20059.95
2018-09-05,1944.8,1995.2,1928.26,1940.8,19275.05
2018-09-06,1943.2,2040.8,1936,2000.8,28402.95
2018-09-07,2040.8,2065.6,1996.8,2034.4,27070
2018-09-10,1993.6,2001.6,1964,1978.4,14125.25
2018-09-11,2002.4,2013.6,1914.4,1916.8,22467.2
2018-09-12,1913.6,1924,1881.6,1894.4,20978.45
2018-09-13,1853.6,1856.8,1836.8,1839.2,19674.45
2018-09-14,1828.8,1848.8,1799.2,1804,19797.1
2018-09-17,1800.8,1860,1792.8,1853.6,28662.7
2018-09-18,1840.8,1852.8,1811.2,1850.4,16618.6
2018-09-19,1798.4,1798.4,1768.8,1784,22621.95
2018-09-20,1758.4,1765.6,1740,1756,25223.05
2018-09-21,1751.2,1764,1731.2,1757.6,19596.5
2018-09-24,1768,1801.6,1752,1757.6,18829.7
2018-09-25,1736,1780,1728,1772.8,11782.5
2018-09-26,1753.6,1806.4,1733.6,1790.4,23569.55
2018-09-27,1768.8,1774.4,1746.4,1758.4,14456.95
2018-09-28,1780.8,1788,1755.2,1755.2,15330.05
2018-10-01,1712,1760.8,1701.6,1736.8,16697.2
2018-10-02,1740.8,1756.8,1719.2,1740,12227.45
2018-10-03,1716.8,1748,1713.6,1723.2,16853.7
2018-10-04,1754.4,1900,1754.4,1829.6,45768.45
2018-10-05,1809.6,1972,1778.4,1867.2,65402.6
2018-10-08,1920,2011.2,1876,1887.2,49377.65
2018-10-09,1936,1963.2,1868,1921.6,42190.85
2018-10-10,1955.2,2263.2,1954.4,2235.2,89502.55
2018-10-11,2208,2539.2,2150.4,2434.4,140315.05
2018-10-12,2200,2460.8,2194.4,2240.8,83432.2
2018-10-15,2297.6,2348.8,2216,2272.8,53540.85
2018-10-16,2201.6,2224.8,2104,2115.2,42383.15
2018-10-17,2106.4,2259.2,2105.6,2139.2,40605.95
2018-10-18,2160,2357.6,2160,2282.4,58190.65
2018-10-19,2256.8,2336,2202.4,2260.8,33496.45
2018-10-22,2241.6,2372.8,2237.6,2275.2,30572.2
2018-10-23,2472,2540,2319.2,2365.6,51183.85
2018-10-24,2348.8,2599.2,2335.2,2576,41796.1
2018-10-25,2526.4,2600,2442.4,2492.8,37081.45
2018-10-26,2661.6,2743.2,2548,2646.4,61022.3
2018-10-29,2545.6,2777.6,2500.8,2649.6,39141.55
2018-10-30,2670.4,2695.2,2547.2,2559.2,30619.1
2018-10-31,2503.2,2540.8,2432,2476,24816.15
2018-11-01,2478.4,2521.6,2391.2,2396.8,19159.2
2018-11-02,2356.8,2506.4,2319.2,2412.8,24798.95
2018-11-05,2418.4,2435.2,2364,2387.2,14174.25
2018-11-06,2397.6,2397.6,2309.6,2309.6,11655
2018-11-07,2225.6,2227.2,2141.6,2146.4,18034.15
2018-11-08,2144.8,2162.4,2079,2128,17020.75
2018-11-09,2170.4,2252.8,2152,2193.6,16665.85
2018-11-12,2196.8,2387.2,2188.8,2372,19961
2018-11-13,2376,2456,2326.4,2393.6,24991
2018-11-14,2345.6,2522.4,2337.6,2452.8,28998.65
2018-11-15,2499.2,2560,2411.2,2428.8,23957.8
2018-11-16,2466.4,2490.4,2306.8,2316,20705.05
2018-11-19,2316.8,2466.4,2299.2,2453.6,22142.2
2018-11-20,2598.4,2656.8,2550.4,2596,36136.8
2018-11-21,2532.8,2566.4,2494.4,2533.6,17656.85
2018-11-23,2579.2,2596.8,2523.2,2550.4,7424.35
2018-11-26,2490.4,2495.2,2404,2405.6,15587.25
2018-11-27,2431.2,2456,2352,2359.2,13010.1
2018-11-28,2325.6,2383.2,2270.4,2291.2,17003.7
2018-11-29,2328.8,2417.6,2300.8,2336,13745.1
2018-11-30,2352,2361.6,2255.2,2269.6,11913.3
2018-12-03,2108,2172,2095.2,2145.6,18234.25
2018-12-04,2165.6,2462.4,2122.4,2421.6,32458.2
2018-12-06,2620,2741.6,2465.6,2472,36773.85
2018-12-07,2484,2700,2431.2,2658.4,27758.7
2018-12-10,2658.4,2792,2608.8,2645.6,25150.1
2018-12-11,2545.6,2720,2541.8,2632.8,18249.95
2018-12-12,2553.6,2611.2,2523.2,2611.2,14141.8
2018-12-13,2568,2628,2540,2568,8719.9
2018-12-14,2627.2,2691.2,2597.6,2669.6,10208.1
2018-12-17,2699.2,2858.4,2560,2806.4,23104.45
2018-12-18,2749.6,2893.6,2747.2,2820.8,14897.75
